date,type,cible,url_listing,statut,dofollow_verifie,dr_source,cout_usd,note
2026-09-26,annuaire,alternative.me,https://alternative.me/,propose,,75,,proposée dans brief-2026-09-26
2026-09-26,annuaire,peerpush.net,https://peerpush.net/,propose,,73,,proposée dans brief-2026-09-26
2026-09-26,annuaire,softwareworld.co,https://www.softwareworld.co/,propose,,73,,proposée dans brief-2026-09-26
2026-09-26,annuaire,auraplusplus.com,https://auraplusplus.com/,propose,,72,,proposée dans brief-2026-09-26
2026-09-26,annuaire,foundrlist.com,https://foundrlist.com/,propose,,72,,proposée dans brief-2026-09-26
2026-09-26,annuaire,neeed.directory,https://neeed.directory/,propose,,72,,proposée dans brief-2026-09-26
2026-09-26,annuaire,tinylaunch.com,https://www.tinylaunch.com/,propose,,72,,proposée dans brief-2026-09-26
2026-09-26,annuaire,open-launch.com,https://open-launch.com/,propose,,71,,proposée dans brief-2026-09-26
2026-09-26,annuaire,sideprojectors.com,https://www.sideprojectors.com/,propose,,71,,proposée dans brief-2026-09-26
2026-09-26,annuaire,smollaunch.com,https://smollaunch.com/,propose,,70,,proposée dans brief-2026-09-26
